transaction_id,customer_id,amount,currency,decline_code,failure_reason,past_success_count,past_failure_count,account_age_days,typical_payment_day,typical_payment_hour,avg_amount,is_recoverable,recovery_window_hours,failure_timestamp,dataset_split
TXN-8866AB87EF4A,CUST-0011,161.58,USD,temp_error,Temporary bank unavailability,44,3,1475,8,6,24.03,1,22.0,2024-12-07 00:07:00,test
TXN-E400D35ABD47,CUST-0076,27.5,USD,insufficient_funds,Card declined — insufficient funds,59,7,1201,9,21,54.43,1,72.0,2024-06-07 03:56:00,train
TXN-11E0971E6629,CUST-0139,12.93,USD,temp_error,"Temporary processing error, please retry",41,7,1855,17,12,44.68,1,20.0,2024-03-13 00:42:00,train
TXN-DBF567072058,CUST-0065,45.27,USD,insufficient_funds,Not enough balance,7,4,1855,15,16,121.81,1,128.0,2024-07-09 06:57:00,train
TXN-D0A8806CC675,CUST-0298,28.01,USD,temp_error,Network error during authorization,25,0,1499,28,8,32.72,1,16.0,2024-08-05 17:48:00,train
TXN-8676F8367CE2,CUST-0392,37.22,EUR,insufficient_funds,Payment failed: low account balance,27,2,224,10,14,28.86,1,112.0,2024-12-06 20:45:00,train
TXN-36407F078BF8,CUST-0059,61.84,GBP,expired_card,Expiration date is in the past,27,5,553,7,10,28.27,1,157.0,2024-03-27 20:48:00,train
TXN-2C4B181A3D92,CUST-0033,265.86,USD,temp_error,Gateway timeout,55,1,298,26,20,70.87,1,4.0,2024-02-26 06:34:00,train
TXN-56C3FA1EEE7D,CUST-0270,80.3,USD,insufficient_funds,Insufficient funds in account,35,5,862,20,18,67.43,1,122.0,2024-05-23 23:30:00,train
TXN-8C5BA22F536B,CUST-0425,633.5,USD,insufficient_funds,Not enough balance,38,5,368,27,12,34.54,1,109.0,2024-01-03 08:55:00,train
TXN-D840685FBF06,CUST-0046,97.92,USD,insufficient_funds,Decline: NSF,50,8,1675,26,9,41.14,1,113.0,2024-12-23 13:46:00,train
TXN-B4DEBF64F128,CUST-0389,75.34,GBP,insufficient_funds,Decline: NSF,50,4,1075,22,12,60.7,1,90.0,2024-04-01 06:03:00,train
TXN-C51CDE39568A,CUST-0082,19.55,USD,insufficient_funds,Not enough balance,19,4,1475,11,8,44.67,0,,2024-09-07 19:56:00,test
TXN-18380F7C66C6,CUST-0427,94.75,GBP,expired_card,Expiration date is in the past,39,2,982,23,14,56.82,0,,2024-07-13 01:17:00,train
TXN-B0E1CD52E845,CUST-0017,57.25,EUR,temp_error,Gateway timeout,5,6,1274,21,15,21.26,1,5.0,2024-01-31 17:08:00,train
TXN-53818F80CA48,CUST-0400,38.12,CAD,temp_error,Network error during authorization,5,2,1566,21,15,36.5,1,5.0,2024-07-08 14:10:00,test
TXN-F97C1C19DEFE,CUST-0003,85.07,EUR,expired_card,Declined — expired card on file,47,5,1840,14,9,38.3,1,141.0,2024-08-06 20:07:00,train
TXN-9B1F5BCAAC3A,CUST-0043,42.23,EUR,temp_error,Temporary bank unavailability,43,3,841,21,20,62.84,1,9.0,2024-08-19 06:47:00,train
TXN-B3A90021FDC4,CUST-0156,148.39,USD,insufficient_funds,Insufficient funds in account,22,1,1476,21,8,33.34,1,66.0,2024-07-20 08:46:00,test
TXN-5AA808031511,CUST-0188,130.77,USD,unknown,Payment declined — reason not specified,16,8,1437,25,16,16.41,1,57.0,2024-06-23 14:01:00,train
TXN-15A92F6590E9,CUST-0047,24.5,USD,fraud_flag,Security flag triggered by issuer,26,0,635,9,14,64.44,0,,2024-12-01 13:06:00,train
TXN-E2C9B43FDBDA,CUST-0195,45.72,GBP,fraud_flag,Fraud prevention hold,6,6,93,28,6,59.32,0,,2024-08-30 14:05:00,train
TXN-E06986070641,CUST-0340,37.95,USD,insufficient_funds,Decline: NSF,46,8,1709,6,6,74.64,1,91.0,2024-11-28 21:02:00,train
TXN-39F8E8A7151D,CUST-0025,20.37,GBP,temp_error,Processing system temporarily unavailable,14,0,1604,19,18,46.02,1,17.0,2024-02-13 18:50:00,train
TXN-348FA03151A2,CUST-0223,196.93,EUR,insufficient_funds,Insufficient funds in account,51,4,178,5,19,32.04,1,109.0,2024-09-25 00:16:00,train
TXN-4F25EB5C5D15,CUST-0490,29.01,USD,temp_error,Network error during authorization,13,8,115,13,17,95.3,0,,2024-05-15 02:46:00,train
TXN-07C13FEC9212,CUST-0091,57.32,USD,expired_card,Declined — expired card on file,26,1,1569,7,21,44.45,0,,2024-06-01 13:32:00,train
TXN-3DF8C1DFA8EE,CUST-0349,60.04,USD,hard_decline,Card permanently blocked,54,4,302,4,7,56.92,0,,2024-12-11 06:05:00,test
TXN-D003CA76576F,CUST-0152,65.32,USD,expired_card,Card expiry passed,9,4,1224,24,9,15.74,0,,2024-08-07 07:55:00,test
TXN-10E20E59D19A,CUST-0018,30.89,USD,expired_card,Card has expired,35,7,456,16,16,61.02,0,,2024-08-13 07:14:00,train
TXN-4896E5672DB3,CUST-0393,532.8,USD,expired_card,Declined — expired card on file,48,7,1254,16,20,77.36,0,,2024-11-06 12:44:00,train
TXN-7318F70240B7,CUST-0260,113.58,GBP,expired_card,Declined — expired card on file,49,0,1675,3,10,71.69,0,,2024-06-26 04:43:00,train
TXN-1B0BFD3F3BC4,CUST-0156,20.17,USD,insufficient_funds,Not enough balance,42,1,1655,7,15,22.16,0,,2024-07-04 08:30:00,train
TXN-2D320C8CD814,CUST-0479,96.74,EUR,auth_required,Strong customer authentication needed,45,3,626,26,16,51.85,1,49.0,2024-09-03 05:45:00,train
TXN-C45519E6225B,CUST-0355,245.46,USD,fraud_flag,Suspected fraudulent activity — transaction blocked,50,8,406,28,16,126.76,0,,2024-02-21 20:23:00,train
TXN-6AB1F7888D5B,CUST-0164,81.99,USD,auth_required,3D Secure authentication required,9,3,1838,6,9,71.62,1,33.0,2024-11-27 15:13:00,train
TXN-561F6EE68606,CUST-0245,35.54,USD,temp_error,Temporary bank unavailability,50,8,990,24,16,49.03,1,19.0,2024-05-28 16:47:00,train
TXN-FB48C16E395E,CUST-0362,113.31,GBP,temp_error,Gateway timeout,28,5,666,22,17,51.82,1,3.0,2024-11-06 10:54:00,train
TXN-72181F6E9B3F,CUST-0425,44.21,USD,expired_card,Declined — expired card on file,1,3,1001,28,20,56.3,1,104.0,2024-05-22 04:00:00,train
TXN-AB1C84D7365D,CUST-0129,103.41,USD,hard_decline,Card permanently blocked,35,5,290,1,12,31.82,0,,2024-04-11 12:38:00,train
TXN-8C8B6B335165,CUST-0356,180.98,EUR,temp_error,Processing system temporarily unavailable,54,5,1304,21,10,45.77,1,13.0,2024-12-17 11:52:00,train
TXN-71BBB84B0E57,CUST-0366,80.51,AUD,expired_card,Declined — expired card on file,6,9,1109,5,10,162.84,1,105.0,2024-12-20 17:38:00,train
TXN-9E4E292ADB27,CUST-0148,43.97,AUD,auth_required,3D Secure authentication required,27,3,1720,28,9,38.61,1,50.0,2024-05-30 15:05:00,train
TXN-4E2DDAD85119,CUST-0401,95.44,USD,hard_decline,Card reported lost or stolen,57,0,1646,11,7,62.88,0,,2024-10-05 17:39:00,train
TXN-C6F949D424B9,CUST-0386,118.04,USD,fraud_flag,Card flagged for unusual activity,54,2,1480,3,15,41.91,0,,2024-06-10 00:57:00,train
TXN-164FC26A623B,CUST-0257,43.52,GBP,temp_error,Network error during authorization,36,6,66,8,9,12.84,1,21.0,2024-07-10 08:46:00,train
TXN-03D6EBBCAAD8,CUST-0354,53.04,GBP,expired_card,Declined — expired card on file,11,6,1733,3,16,22.27,0,,2024-05-04 10:48:00,train
TXN-D9EE5838DA62,CUST-0319,59.53,USD,expired_card,Expiration date is in the past,59,8,379,20,17,60.26,0,,2024-08-05 11:54:00,test
TXN-C8B5ED40F0E2,CUST-0172,27.58,USD,expired_card,Card has expired,1,3,1112,13,21,113.01,0,,2024-08-19 10:25:00,test
TXN-2B46FC73F142,CUST-0481,50.71,GBP,temp_error,Temporary bank unavailability,14,5,776,10,20,39.9,1,15.0,2024-11-27 23:44:00,train
TXN-7FC77BEA30BB,CUST-0326,130.14,USD,insufficient_funds,Decline: NSF,20,8,488,1,10,70.25,1,85.0,2024-04-01 19:35:00,test
TXN-E83638E2FBF9,CUST-0430,43.95,GBP,unknown,Generic decline,54,2,1345,23,13,87.75,0,,2024-03-08 07:06:00,train
TXN-BE509ACE975D,CUST-0159,54.78,USD,temp_error,Processing system temporarily unavailable,57,7,1876,3,10,13.57,1,7.0,2024-01-15 13:03:00,train
TXN-709902448CDB,CUST-0258,29.23,USD,expired_card,Card has expired,46,0,108,26,17,31.62,0,,2024-12-22 07:29:00,train
TXN-4BC3E913FBFA,CUST-0197,29.13,USD,insufficient_funds,Card declined — insufficient funds,6,5,230,8,13,21.37,0,,2024-05-29 10:33:00,train
TXN-72A8C5896268,CUST-0390,10.76,USD,insufficient_funds,Card declined — insufficient funds,51,6,649,10,9,64.69,1,86.0,2024-03-31 22:28:00,train
TXN-6DAE78F91B97,CUST-0431,103.44,USD,insufficient_funds,Payment failed: low account balance,55,0,47,1,20,88.61,1,106.0,2024-03-09 03:06:00,train
TXN-1707CE3C6D88,CUST-0120,15.06,USD,temp_error,Gateway timeout,16,8,1183,15,15,74.42,1,21.0,2024-11-23 18:59:00,train
TXN-84B160922FC0,CUST-0124,343.44,AUD,expired_card,Card expiry passed,21,7,165,23,8,80.14,1,121.0,2024-04-26 02:36:00,test
TXN-C8FFCE3F904F,CUST-0207,87.59,USD,expired_card,Card expiry passed,23,0,162,20,8,25.33,1,143.0,2024-11-04 16:18:00,train
TXN-C7D52355D019,CUST-0062,67.33,USD,temp_error,Processing system temporarily unavailable,41,0,1342,5,18,24.99,1,14.0,2024-07-04 06:00:00,train
TXN-57B68120EAFA,CUST-0496,81.37,GBP,temp_error,Gateway timeout,24,5,259,5,15,49.87,1,15.0,2024-09-20 01:26:00,train
TXN-092AE9AC1494,CUST-0171,60.45,USD,fraud_flag,Card flagged for unusual activity,13,8,318,25,19,32.88,0,,2024-04-02 04:33:00,train
TXN-15C638C33DFA,CUST-0262,186.77,USD,temp_error,Gateway timeout,45,7,540,28,8,62.2,1,9.0,2024-06-02 22:00:00,test
TXN-76BE23DFDE6E,CUST-0260,85.56,USD,expired_card,Card expiry passed,9,6,194,14,8,27.56,0,,2024-04-06 04:40:00,train
TXN-56BC35C375FD,CUST-0099,12.26,EUR,hard_decline,Do not honor,38,8,429,19,12,50.88,0,,2024-02-02 17:39:00,train
TXN-DD2A923B95A8,CUST-0365,27.05,CAD,auth_required,SCA challenge required,41,8,1142,25,18,44.89,1,60.0,2024-01-02 04:25:00,train
TXN-C6FC5253A6DA,CUST-0105,271.23,GBP,expired_card,Card expiry passed,23,6,1260,9,11,90.99,0,,2024-08-10 09:24:00,test
TXN-70DEEEE51E60,CUST-0287,137.95,USD,expired_card,Card expiry passed,23,7,729,4,11,70.46,0,,2024-02-29 01:20:00,train
TXN-490E22E9C85C,CUST-0363,63.64,GBP,insufficient_funds,Card declined — insufficient funds,16,4,692,6,21,42.77,1,90.0,2024-03-08 01:28:00,test
TXN-856DF4FDE102,CUST-0022,70.13,USD,expired_card,Card has expired,53,1,1918,7,10,47.82,0,,2024-04-24 18:18:00,train
TXN-8BC880671B84,CUST-0438,26.11,USD,unknown,Error code: 05,24,1,1964,27,10,42.15,0,,2024-06-04 02:48:00,train
TXN-6A8B0776DF31,CUST-0422,68.78,USD,temp_error,Network error during authorization,6,8,336,11,15,32.54,1,9.0,2024-09-27 07:50:00,train
TXN-B39990E4DB67,CUST-0055,237.61,CAD,auth_required,SCA challenge required,7,2,821,26,17,56.94,1,55.0,2024-02-06 04:50:00,train
TXN-274D64F6A763,CUST-0206,146.93,GBP,expired_card,Card has expired,34,8,495,21,11,75.01,1,95.0,2024-09-19 05:19:00,train
TXN-FDC6C96C8F2F,CUST-0018,42.22,USD,fraud_flag,Fraud prevention hold,29,4,569,15,12,47.5,0,,2024-07-14 08:07:00,train
TXN-5E7E403F7EE5,CUST-0179,169.4,CAD,unknown,Payment declined — reason not specified,9,3,299,16,21,51.79,1,31.0,2024-03-16 20:01:00,train
TXN-DCE5363095D2,CUST-0458,174.21,USD,expired_card,Card expiry passed,31,5,1219,19,8,9.41,0,,2024-02-22 19:49:00,train
TXN-485F3009937B,CUST-0370,26.31,USD,insufficient_funds,Decline: NSF,55,3,1841,2,18,209.72,1,122.0,2024-01-20 18:38:00,train
TXN-B9A0B6309211,CUST-0105,61.08,USD,expired_card,Card expiry passed,59,2,1108,8,20,95.07,1,148.0,2024-01-23 19:07:00,train
TXN-AE1B1269C428,CUST-0316,29.97,EUR,expired_card,Card has expired,43,4,1844,9,16,23.33,1,164.0,2024-01-27 11:36:00,train
TXN-253D4EEB33E1,CUST-0277,89.97,USD,temp_error,"Temporary processing error, please retry",26,2,1976,25,17,78.46,1,5.0,2024-09-30 10:31:00,train
TXN-9DE7976CB8B4,CUST-0151,190.92,USD,hard_decline,Account closed,53,5,737,5,17,58.72,0,,2024-09-21 21:19:00,train
TXN-01B5B9ED0EC6,CUST-0209,47.87,USD,temp_error,Network error during authorization,15,1,689,24,7,81.62,1,16.0,2024-02-17 15:43:00,train
TXN-15E9D9DB4BB8,CUST-0443,44.67,GBP,insufficient_funds,Card declined — insufficient funds,14,9,1504,19,8,46.33,1,85.0,2024-02-17 18:08:00,train
TXN-1721EED1688B,CUST-0337,109.17,EUR,hard_decline,Account closed,46,9,410,17,15,55.79,0,,2024-04-22 15:03:00,test
TXN-10108B39B3ED,CUST-0160,44.69,USD,unknown,Generic decline,32,4,803,20,20,98.66,0,,2024-05-12 10:10:00,train
TXN-CAED30EC6A7F,CUST-0467,116.61,EUR,expired_card,Card expiry passed,48,3,1092,23,9,39.54,0,,2024-12-14 22:18:00,train
TXN-33C9E5630577,CUST-0421,72.8,USD,auth_required,SCA challenge required,37,4,1530,20,9,59.73,1,36.0,2024-08-19 06:18:00,train
TXN-CA403DCFE254,CUST-0181,46.29,GBP,insufficient_funds,Not enough balance,10,3,1144,1,6,71.74,1,117.0,2024-05-02 03:50:00,train
TXN-47458FA6B544,CUST-0387,18.65,USD,insufficient_funds,Insufficient funds in account,56,1,784,1,12,294.57,1,131.0,2024-11-16 22:17:00,train
TXN-FCC798250C77,CUST-0469,70.07,GBP,auth_required,3D Secure authentication required,39,4,452,4,17,80.8,1,35.0,2024-10-30 03:25:00,train
TXN-1007A433DF6B,CUST-0250,39.45,AUD,temp_error,Temporary bank unavailability,1,5,1307,3,7,73.46,1,8.0,2024-02-13 23:19:00,train
TXN-DD7A72C8BA4A,CUST-0088,101.06,USD,insufficient_funds,Not enough balance,47,6,652,24,20,119.36,1,118.0,2024-10-26 09:19:00,train
TXN-A4DF1728C6DA,CUST-0400,72.36,GBP,expired_card,Card has expired,54,0,1786,10,8,67.44,1,77.0,2024-04-12 01:30:00,train
TXN-EFBDA9CC4BBD,CUST-0043,57.55,EUR,auth_required,Strong customer authentication needed,49,3,1495,5,6,15.51,1,46.0,2024-02-23 06:49:00,train
TXN-8212CA4CC9AB,CUST-0409,186.93,USD,insufficient_funds,Not enough balance,19,7,793,6,14,54.72,1,101.0,2024-09-17 11:18:00,train
TXN-E5194B76F55B,CUST-0312,115.83,USD,auth_required,3D Secure authentication required,10,1,679,5,6,60.97,1,72.0,2024-10-27 16:59:00,train
TXN-77539B8F6350,CUST-0326,66.76,AUD,expired_card,Card expiry passed,57,8,790,13,9,26.78,0,,2024-06-21 15:56:00,train
TXN-674E41BB6AE2,CUST-0144,476.25,EUR,temp_error,Temporary bank unavailability,27,0,1104,15,6,27.4,1,7.0,2024-05-15 11:37:00,train
TXN-D5CD6CE6FA02,CUST-0129,36.25,USD,fraud_flag,Fraud prevention hold,16,1,1510,15,8,91.18,0,,2024-04-24 15:40:00,train
TXN-6FD1C6E9551E,CUST-0422,22.17,GBP,insufficient_funds,Insufficient funds in account,38,7,1548,5,19,136.87,0,,2024-11-20 19:28:00,train
TXN-6001AD908AD4,CUST-0237,320.02,USD,insufficient_funds,Insufficient funds in account,40,0,607,6,20,24.69,1,51.0,2024-02-06 02:25:00,train
TXN-EF13213ADD0D,CUST-0067,37.72,USD,fraud_flag,Suspected fraudulent activity — transaction blocked,31,3,645,10,10,92.95,0,,2024-06-01 04:48:00,train
TXN-902CD1C011E4,CUST-0444,22.14,USD,hard_decline,Account closed,27,6,205,12,7,120.9,0,,2024-12-17 18:06:00,test
TXN-64BDE4EBBE78,CUST-0409,32.44,USD,temp_error,"Temporary processing error, please retry",3,3,1993,14,21,76.38,0,,2024-11-30 19:55:00,train
TXN-72CA3FAB2755,CUST-0085,10.72,USD,expired_card,Declined — expired card on file,48,3,990,23,15,55.48,1,90.0,2024-08-26 07:13:00,train
TXN-E5C5AFB3D966,CUST-0399,256.43,USD,temp_error,Processing system temporarily unavailable,25,8,883,18,12,18.46,1,7.0,2024-12-04 17:23:00,train
TXN-69A5DF5685A8,CUST-0225,84.91,USD,temp_error,Gateway timeout,22,3,927,28,11,53.35,1,4.0,2024-07-13 02:18:00,train
TXN-EF8801B11A60,CUST-0484,46.63,EUR,insufficient_funds,Card declined — insufficient funds,15,5,1068,24,21,80.65,1,115.0,2024-12-04 02:40:00,test
TXN-C8D4B9F642DB,CUST-0472,40.49,USD,expired_card,Card has expired,36,0,1848,27,16,67.91,0,,2024-01-31 00:20:00,train
TXN-EA93D4C297B8,CUST-0371,69.99,EUR,expired_card,Card has expired,56,3,935,25,20,181.65,1,98.0,2024-11-06 13:03:00,train
TXN-34E7A12DB302,CUST-0217,81.95,AUD,expired_card,Card expiry passed,57,7,159,24,19,30.59,0,,2024-03-09 23:52:00,test
TXN-C95AD0C5B30A,CUST-0058,121.89,USD,fraud_flag,Suspected fraudulent activity — transaction blocked,58,7,1278,18,20,10.31,0,,2024-06-04 03:25:00,test
TXN-572FFD7C98CC,CUST-0064,38.86,USD,auth_required,3D Secure authentication required,18,7,1414,25,7,68.42,0,,2024-01-09 12:27:00,train
TXN-0524986BB480,CUST-0289,65.51,EUR,temp_error,"Temporary processing error, please retry",2,5,278,13,21,21.04,1,12.0,2024-07-09 10:08:00,train
TXN-A6DA8EAFA954,CUST-0172,82.77,GBP,insufficient_funds,Not enough balance,24,9,1895,7,7,81.02,1,114.0,2024-12-27 20:53:00,train
TXN-AFA8584CBB7C,CUST-0066,43.76,AUD,insufficient_funds,Not enough balance,57,6,960,2,9,94.59,1,98.0,2024-09-14 12:54:00,train
TXN-146A16AA0771,CUST-0467,118.81,GBP,fraud_flag,Fraud prevention hold,56,1,241,21,14,40.28,0,,2024-11-14 13:42:00,test
TXN-AE93B38F98DB,CUST-0198,16.67,USD,expired_card,Card expiry passed,47,1,132,15,10,27.77,0,,2024-03-13 02:40:00,test
TXN-265226846BD1,CUST-0433,92.19,CAD,fraud_flag,Suspected fraudulent activity — transaction blocked,37,1,1951,26,18,76.22,0,,2024-05-21 13:57:00,train
TXN-1A15146A38EA,CUST-0449,6.73,USD,unknown,Generic decline,51,3,1411,8,11,57.77,0,,2024-02-11 02:43:00,test
TXN-A6ABCDD67845,CUST-0038,217.44,USD,expired_card,Card has expired,18,1,1861,25,9,166.9,0,,2024-10-25 05:23:00,train
TXN-0EF51A2085A3,CUST-0257,51.46,USD,unknown,Payment declined — reason not specified,55,0,478,5,9,82.83,0,,2024-05-12 21:15:00,train
TXN-21568E48D71B,CUST-0268,396.94,GBP,insufficient_funds,Not enough balance,37,9,1602,4,11,32.74,0,,2024-06-21 05:24:00,train
TXN-18B3ADDAFAFD,CUST-0218,56.4,USD,expired_card,Expiration date is in the past,36,3,1543,6,16,31.6,0,,2024-02-29 10:48:00,test
TXN-01DE3972305A,CUST-0114,31.72,USD,insufficient_funds,Payment failed: low account balance,35,4,1873,15,14,51.93,1,131.0,2024-12-07 10:16:00,train
TXN-2F0A61F42685,CUST-0256,88.99,USD,expired_card,Expiration date is in the past,13,7,486,18,15,220.41,0,,2024-01-19 00:28:00,train
TXN-07B0DFC1013E,CUST-0141,100.28,EUR,insufficient_funds,Not enough balance,46,9,1496,12,13,216.97,1,104.0,2024-08-20 18:37:00,train
TXN-66E58D6FA77F,CUST-0331,33.68,USD,temp_error,Processing system temporarily unavailable,37,8,1921,11,14,25.23,1,6.0,2024-06-27 11:31:00,train
TXN-FC4B76B00055,CUST-0174,65.97,EUR,insufficient_funds,Insufficient funds in account,53,7,454,8,15,22.78,1,102.0,2024-02-10 19:09:00,train
TXN-C47B649DE4B7,CUST-0145,86.83,EUR,temp_error,"Temporary processing error, please retry",50,1,1766,22,11,23.96,1,7.0,2024-10-19 03:23:00,train
TXN-3C9717B3A459,CUST-0191,28.29,USD,temp_error,"Temporary processing error, please retry",28,2,849,22,15,83.7,1,7.0,2024-09-30 04:26:00,train
TXN-028638D3A570,CUST-0120,56.3,USD,expired_card,Card has expired,43,2,358,26,18,181.0,0,,2024-03-07 06:21:00,train
TXN-A284D4C57A7A,CUST-0065,17.36,EUR,expired_card,Card expiry passed,3,9,742,11,13,45.19,0,,2024-01-09 20:37:00,train
TXN-114AD0E0BE19,CUST-0499,47.49,USD,fraud_flag,Fraud prevention hold,45,0,1817,20,6,15.17,0,,2024-06-20 11:29:00,test
TXN-D910BCB31F89,CUST-0203,26.26,USD,temp_error,Temporary bank unavailability,42,2,1107,6,18,19.84,1,21.0,2024-10-08 23:40:00,train
TXN-F34826D44CBE,CUST-0080,61.32,EUR,expired_card,Expiration date is in the past,56,4,1260,10,21,76.0,1,144.0,2024-07-22 05:10:00,train
TXN-F2E2C0E0B36A,CUST-0028,22.18,EUR,hard_decline,Account closed,40,1,809,21,8,88.72,0,,2024-12-23 06:55:00,train
TXN-ED1A6E92CBFC,CUST-0456,26.64,USD,insufficient_funds,Card declined — insufficient funds,57,2,1357,10,21,60.17,1,104.0,2024-01-02 10:59:00,train
TXN-7F2BF4B9F6DB,CUST-0387,66.0,GBP,auth_required,SCA challenge required,12,6,1683,1,15,14.46,1,67.0,2024-07-27 21:02:00,train
TXN-72C614C2E80E,CUST-0259,60.61,EUR,fraud_flag,Fraud prevention hold,9,3,184,7,9,30.24,0,,2024-07-24 09:26:00,train
TXN-8840826E81AC,CUST-0239,37.2,AUD,fraud_flag,Card flagged for unusual activity,9,4,1287,19,12,63.0,0,,2024-01-27 05:59:00,train
TXN-A54147E72F77,CUST-0364,183.39,USD,auth_required,SCA challenge required,10,1,201,12,13,74.06,0,,2024-03-11 19:12:00,test
TXN-9DB05A0721C2,CUST-0453,64.45,USD,insufficient_funds,Payment failed: low account balance,1,9,553,15,12,313.73,1,103.0,2024-05-27 20:37:00,train
TXN-4A365FC4E123,CUST-0042,122.67,USD,temp_error,"Temporary processing error, please retry",55,6,789,24,9,141.78,1,13.0,2024-11-05 12:03:00,train
TXN-E40EA8756084,CUST-0152,65.78,EUR,temp_error,Network error during authorization,9,9,1521,3,17,97.93,1,13.0,2024-01-21 21:11:00,train
TXN-4EEE67BFECAC,CUST-0023,46.12,USD,auth_required,SCA challenge required,14,3,1973,15,16,110.14,0,,2024-07-03 20:23:00,test
TXN-ED60594CA597,CUST-0480,102.42,EUR,insufficient_funds,Decline: NSF,31,7,511,6,11,18.99,0,,2024-10-17 00:43:00,train
TXN-D7E49A95FF88,CUST-0078,61.43,USD,expired_card,Card expiry passed,59,2,148,3,15,54.66,0,,2024-05-30 02:17:00,train
TXN-EC8DC6EE7C04,CUST-0300,74.3,USD,unknown,Unknown decline code from processor,46,2,504,10,9,67.95,1,46.0,2024-08-09 22:49:00,train
TXN-626C6FF76616,CUST-0110,178.17,USD,auth_required,Strong customer authentication needed,27,3,1130,23,19,63.36,1,70.0,2024-11-03 09:24:00,train
TXN-D7542CF97B98,CUST-0179,22.07,EUR,insufficient_funds,Payment failed: low account balance,53,2,1471,7,14,41.29,1,103.0,2024-07-12 19:14:00,test
TXN-0EEEC051F8A8,CUST-0013,74.67,EUR,unknown,Generic decline,55,5,1422,3,13,41.59,0,,2024-01-23 15:18:00,train
TXN-63563FF5D5D9,CUST-0100,111.36,USD,fraud_flag,Suspected fraudulent activity — transaction blocked,15,9,703,5,20,38.47,0,,2024-10-28 07:49:00,train
TXN-888253D69FC9,CUST-0084,21.8,USD,insufficient_funds,Insufficient funds in account,3,9,186,3,7,57.89,0,,2024-07-11 19:44:00,train
TXN-01122BB0A327,CUST-0290,65.06,USD,temp_error,Network error during authorization,56,7,1765,12,13,94.52,1,5.0,2024-03-02 11:04:00,train
TXN-6297F5D3C4BD,CUST-0390,217.44,GBP,insufficient_funds,Card declined — insufficient funds,19,9,1380,20,16,38.62,1,120.0,2024-11-08 21:45:00,train
TXN-CE2EAAC0FA09,CUST-0108,39.44,USD,temp_error,Temporary bank unavailability,14,2,1820,10,14,152.32,1,15.0,2024-06-11 14:09:00,test
